clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd
44,2024-01-01,-1.5,32,270,137,101,837,551,9.4,1704135600,3.2,293,7.7,1704142800,1.1,1704168000,0,0,983,final,60,1021,0,,132,760,6477,3298,3163,5.9,1704085200,293,11.4,4.9
27,2024-01-02,-3.9,32,270,138,101,838,553,11.7,1704225600,3.2,304,4.3,1704171600,-1.1,1704193200,0,0,986,final,57,1024,0,,138,761,6487,3310,3309,4.6,1704171600,304,6.8,2.8
84,2024-01-03,-1.4,32,271,138,101,839,555,8.3,1704304800,1,274,3.6,1704304800,-0.6,1704279600,2.3,2.3,981,final,70,1019,0,,35,762,6498,3323,832,3.9,1704258000,274,5.6,2.3
3,2024-01-04,-1.8,32,271,139,101,839,556,11.1,1704398400,3.3,319,6.4,1704362400,1.1,1704369600,0,0,983,final,63,1021,0,,139,764,6510,3338,3338,5.2,1704344400,319,9.8,4.2
64,2024-01-05,-2.6,32,272,140,102,840,559,11.7,1704481200,2.8,90,6.7,1704499200,0,1704456000,5,5,984,final,57,1022,0,,77,766,6523,3353,1840,5.5,1704430800,90,11.6,4.9
99,2024-01-06,4.9,32,272,140,102,841,561,10.6,1704578400,1.1,163,8.7,1704524400,3.9,1704528000,14.3,14.3,972,final,87,1009,0,,28,767,6536,3369,670,7,1704517200,163,14.4,4.2
90,2024-01-07,0.4,32,273,141,102,842,563,10,1704650400,1.1,295,8.3,1704646800,2.2,1704686400,0,0,981,final,66,1018,0,,57,769,6551,3386,1363,6.5,1704603600,295,13.2,4.8
86,2024-01-08,-1.2,32,274,142,102,843,565,10.6,1704744000,2.5,111,8.5,1704758400,1.7,1704711600,11.8,11.8,985,final,63,1023,0,,96,771,6566,3405,2302,5.6,1704690000,111,14.6,5.4
95,2024-01-09,5.4,32,274,143,102,844,568,12,1704830400,1.8,190,9.8,1704859200,4.4,1704859200,60.8,60.8,964,final,81,1001,0,,49,773,6582,3424,1165,8.8,1704776400,190,36,6.8
67,2024-01-10,-2.3,32,275,144,102,845,570,10.6,1704916800,2.5,256,9.4,1704862800,2.8,1704888000,0,0,973,final,57,1011,0,,108,776,6600,3444,2602,5.8,1704862800,256,16,5
33,2024-01-11,1.9,32,276,144,103,846,573,16.7,1704999600,3.4,212,4.3,1704988800,1.7,1704970800,0,0,978,final,64,1016,0,,144,778,6618,3465,3458,8.5,1704949200,212,8.7,2.6
83,2024-01-12,5.9,33,277,145,103,847,576,12.8,1705096800,1.1,157,7.3,1705068000,5.6,1705046400,10.3,10.3,970,final,82,1007,0,,33,781,6636,3487,796,8.8,1705035600,157,23.2,4
38,2024-01-13,-4.2,33,277,146,103,849,579,9.6,1705122000,3.5,279,8.2,1705125600,-0.6,1705147200,0,0,976,final,57,1013,0,,146,783,6656,3511,3511,4,1705122000,279,15,5.2
54,2024-01-14,-2.3,33,278,147,103,850,582,13.9,1705262400,3.5,241,6.5,1705248000,-1.1,1705226400,0,0,982,final,56,1020,0,,119,786,6676,3535,2861,6.3,1705208400,241,10.9,3.1
83,2024-01-15,-1.9,33,279,148,103,851,585,16.1,1705352400,1.2,235,4.4,1705338000,5.6,1705320000,0,0,979,final,45,1017,0,,54,789,6697,3560,1307,10.1,1705294800,235,7.2,2.2
61,2024-01-16,-5.4,33,280,149,104,852,588,7.7,1705381200,1.9,316,10.1,1705428000,-7.2,1705464000,10.5,10.5,978,final,69,1016,0,,84,791,6719,3585,2017,-0.1,1705381200,316,14.5,7
25,2024-01-17,-14.5,33,281,151,104,853,592,3.3,1705525200,3.6,318,5.5,1705467600,-10,1705485600,0,0,987,final,47,1026,0,,150,794,6742,3612,3610,-3.8,1705467600,318,9.2,3.8
64,2024-01-18,-9.7,33,282,152,104,855,595,10.6,1705611600,2.8,168,5,1705636800,-4.4,1705579200,0.3,0.3,983,final,39,1021,0,,143,797,6765,3640,3439,3.9,1705554000,168,9.3,2.4
51,2024-01-19,-2.1,33,283,153,104,856,599,8.8,1705640400,2.3,300,12.9,1705683600,-2.8,1705723200,0.3,0.3,980,final,63,1018,0,,102,800,6789,3668,2447,4.6,1705640400,300,19.2,7.4
7,2024-01-20,-13.9,33,284,154,105,857,602,0,1705780800,3.7,325,8.6,1705777200,-8.3,1705752000,0,0,990,final,49,1029,0,,154,804,6813,3697,3697,-4.5,1705726800,325,12.6,7
28,2024-01-21,-14,34,285,155,105,859,606,5,1705870800,3.5,196,4.8,1705816800,-10,1705838400,0,0,996,final,45,1035,0,,152,807,6838,3728,3655,-3,1705813200,196,7.6,2.2
75,2024-01-22,-8.8,34,286,157,105,860,610,9.4,1705957200,1.2,93,5.3,1705982400,-2.2,1705917600,0,0,995,final,41,1034,0,,49,810,6863,3759,1169,3.3,1705899600,93,8.8,4.1
100,2024-01-23,3.5,34,287,158,105,861,614,11.1,1706047200,1.2,90,5.7,1706018400,5,1706014800,3,3,991,final,73,1030,0,,31,814,6889,3790,741,8.3,1705986000,90,8,4.5
100,2024-01-24,12.2,34,288,159,106,863,618,17.2,1706155200,1.2,115,5.3,1706104800,9,1706072400,2,2,987,final,95,1025,0,,16,817,6916,3823,382,12.9,1706072400,115,9.2,3.4
97,2024-01-25,16.8,34,289,161,106,864,622,22.2,1706216400,1.2,157,7,1706223600,16.7,1706169600,31.5,31.5,982,final,91,1019,0,,18,821,6943,3856,427,18.3,1706158800,157,15.2,3.4
91,2024-01-26,14.9,34,290,162,106,866,626,20,1706302800,1.2,216,3.1,1706245200,15.6,1706263200,0,0,983,final,86,1020,0,,27,826,6970,3890,657,17.3,1706245200,216,7.6,1.5
96,2024-01-27,15.2,35,292,164,106,867,630,18.3,1706392800,1.2,168,7.8,1706414400,14,1706414400,19.5,19.5,978,final,90,1015,0,,20,832,7000,3926,468,16.9,1706331600,168,13.4,3.4
93,2024-01-28,3.5,35,293,165,107,868,635,13.4,1706418000,1.2,291,9.9,1706461200,7.2,1706443200,0,0,978,final,72,1015,0,,41,837,7034,3962,991,8.4,1706418000,291,14.3,7.7
36,2024-01-29,0.9,35,295,167,107,870,639,12.2,1706558400,4,315,9.4,1706536800,3.9,1706529600,0,0,982,final,65,1020,0,,166,843,7070,3999,3974,7.3,1706504400,315,12.8,6.4
31,2024-01-30,0.7,35,296,168,107,871,643,15.6,1706641200,4.1,278,4.6,1706673600,0.6,1706612400,1.5,1.5,980,final,63,1018,0,,168,848,7109,4037,4037,8.1,1706590800,278,9.8,2.9
19,2024-01-31,1.1,36,298,170,108,873,648,12.8,1706731200,3.9,321,7.1,1706716800,4.4,1706760000,0,0,980,final,61,1018,0,,164,854,7149,4076,3938,8.7,1706677200,321,11.6,5.3
51,2024-02-01,-0.5,36,300,171,108,874,652,17.2,1706821200,2.7,283,3.9,1706796000,0.6,1706785200,0,0,982,final,57,1020,0,,89,859,7190,4115,2130,8.3,1706763600,283,6.4,2.8
42,2024-02-02,2,36,301,173,108,876,657,21.1,1706904000,4.3,303,5.7,1706893200,5.6,1706875200,0,0,977,final,51,1014,0,,173,864,7232,4155,4155,12.4,1706850000,303,8.2,3.4
54,2024-02-03,2.4,36,303,175,108,877,662,16.7,1706990400,4.1,119,8.3,1706972400,7.8,1706961600,0,0,977,final,55,1014,0,,155,870,7274,4196,3709,11.4,1706936400,119,12.3,5
97,2024-02-04,0.5,36,305,177,109,879,666,9.9,1707022800,1.4,81,13.1,1707102000,5.6,1707084000,17.5,17.5,971,final,63,1008,0,,44,875,7317,4238,1059,7.3,1707022800,81,19.5,8.8
74,2024-02-05,1.9,37,307,178,109,880,671,15,1707170400,2.3,135,10.1,1707109200,5.6,1707130800,3.3,3.3,970,final,63,1007,0,,84,880,7360,4280,2005,9.1,1707109200,135,15.2,5.6
7,2024-02-06,-0.7,37,308,180,109,881,676,17.8,1707253200,4.5,148,4.3,1707231600,4.4,1707210000,0,0,978,final,48,1015,0,,180,886,7403,4323,4323,10.7,1707195600,148,6,2.3
34,2024-02-07,-1.8,37,310,182,110,883,681,14.4,1707336000,4.5,115,5.3,1707314400,2.8,1707303600,0,0,986,final,49,1024,0,,180,891,7445,4367,4317,8.7,1707282000,115,8.4,2.4
88,2024-02-08,-1.1,37,312,184,110,884,685,13.3,1707422400,1.5,120,4.5,1707408000,3.9,1707393600,0,0,987,final,50,1024,0,,51,896,7488,4411,1217,9.1,1707368400,120,8.8,2.6
91,2024-02-09,5.9,38,314,186,110,886,690,17.2,1707505200,1.4,139,3.9,1707498000,8.3,1707476400,0,0,984,final,63,1021,0,,54,901,7530,4455,1290,12.9,1707454800,139,7.2,2
89,2024-02-10,12.4,38,315,188,110,887,695,18.9,1707595200,1.5,195,4.1,1707620400,13.9,1707566400,1.3,1.3,980,final,81,1017,0,,45,907,7571,4501,1091,15.7,1707541200,195,9.6,2.5
95,2024-02-11,14.9,38,317,189,111,889,700,19.4,1707685200,1.5,197,5.4,1707649200,15.6,1707631200,18.8,18.8,974,final,86,1011,0,,28,912,7613,4546,680,17.3,1707627600,197,10.4,3.2
