Count.tree_pollen,Count.grass_pollen,Count.weed_pollen,Risk.tree_pollen,Risk.grass_pollen,Risk.weed_pollen,Species.Others,Species.Grass.Grass / Poaceae,Species.Tree.Oak,Species.Tree.Cypress / Juniper / Cedar,Species.Tree.Mulberry,Species.Tree.Pine,Species.Tree.Elm,Species.Tree.Ash,Species.Tree.Birch,Species.Tree.Maple,Species.Tree.Poplar / Cottonwood,Species.Weed.Ragweed,SpeciesRisk.Oak,SpeciesRisk.Cypress / Juniper / Cedar,SpeciesRisk.Mulberry,SpeciesRisk.Pine,SpeciesRisk.Elm,SpeciesRisk.Ash,SpeciesRisk.Birch,SpeciesRisk.Maple,SpeciesRisk.Poplar / Cottonwood,SpeciesRisk.Grass / Poaceae,SpeciesRisk.Ragweed,lat,lng,time,date,temp,min_temp,max_temp,precip,wind_spd
18,0,0,Low,Low,Low,0,0,0,18,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1672531200,2023-01-01,59.18,12.2,21.1,0.0,1.9
11,0,0,Low,Low,Low,0,0,0,11,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1672617600,2023-01-02,61.34,10.6,22.2,0.3,2.2
97,0,0,Moderate,Low,Low,4,0,0,93,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1672704000,2023-01-03,65.48,16.8,21.1,25.0,3.6
27,0,0,Low,Low,Low,0,0,0,27,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1672790400,2023-01-04,63.14,11.7,20.6,60.5,3.7
100,0,0,Moderate,Low,Low,0,0,0,100,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1672876800,2023-01-05,53.42,8.3,16.7,0.0,3.8
42,0,0,Low,Low,Low,0,0,0,42,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1672963200,2023-01-06,47.84,3.9,14.4,0.0,3.9
73,0,0,Low,Low,Low,21,0,0,52,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673049600,2023-01-07,51.8,3.3,17.8,0.0,1.5
33,0,0,Low,Low,Low,0,0,0,33,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673136000,2023-01-08,55.58,9.4,17.2,5.5,2.5
46,0,0,Low,Low,Low,0,0,0,46,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673222400,2023-01-09,48.379999999999995,6.1,12.8,0.0,4.3
93,0,0,Low,Low,Low,8,0,0,85,0,0,0,0,0,0,0,0,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673308800,2023-01-10,48.56,2.8,16.7,0.0,2.6
80,0,0,Low,Low,Low,0,0,0,80,0,0,0,0,0,0,0,0,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673395200,2023-01-11,55.22,6.1,18.9,0.0,2.3
31,0,0,Low,Low,Low,22,0,0,9,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673481600,2023-01-12,61.16,11.7,21.1,16.5,4.8
60,0,0,Low,Low,Low,0,0,0,60,0,0,0,0,0,0,0,0,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673568000,2023-01-13,42.980000000000004,2.8,11.8,0.5,7.7
78,0,0,Low,Low,Low,18,0,0,60,0,0,0,0,0,0,0,0,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673654400,2023-01-14,37.58,0.0,6.7,0.0,7.7
23,0,0,Low,Low,Low,0,0,0,23,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673740800,2023-01-15,40.82,-1.7,13.9,0.0,2.3
148,0,0,Moderate,Low,Low,0,0,0,148,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673827200,2023-01-16,48.74,1.1,16.1,0.0,2.5
231,0,0,High,Low,Low,0,0,0,231,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673913600,2023-01-17,55.76,10.0,16.0,6.0,3.1
254,0,0,High,Low,Low,0,0,0,254,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674000000,2023-01-18,60.62,13.9,18.0,0.8,2.2
179,0,0,Moderate,Low,Low,0,0,0,179,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674086400,2023-01-19,64.04,13.3,22.2,1.0,5.3
224,0,0,High,Low,Low,0,0,0,224,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674172800,2023-01-20,50.72,6.1,15.0,0.0,5.6
31,0,0,Low,Low,Low,22,0,0,9,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674259200,2023-01-21,45.14,4.4,9.4,5.3,4.0
151,0,0,Moderate,Low,Low,0,0,0,151,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674345600,2023-01-22,43.519999999999996,4.0,8.3,45.0,3.9
88,0,0,Low,Low,Low,0,0,0,88,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674432000,2023-01-23,42.620000000000005,2.2,8.9,0.3,4.8
17,0,0,Low,Low,Low,15,0,0,2,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674518400,2023-01-24,42.8,-0.6,11.7,0.0,3.3
257,0,0,High,Low,Low,0,0,0,257,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674604800,2023-01-25,53.42,5.6,18.3,19.8,5.7
190,0,0,Moderate,Low,Low,0,0,0,190,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674691200,2023-01-26,41.36,2.2,9.4,0.0,5.0
4,0,0,Low,Low,Low,0,0,0,4,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674777600,2023-01-27,40.64,-0.6,11.1,0.0,3.4
