Count.tree_pollen,Count.grass_pollen,Count.weed_pollen,Risk.tree_pollen,Risk.grass_pollen,Risk.weed_pollen,Species.Others,Species.Grass.Grass / Poaceae,Species.Tree.Oak,Species.Tree.Cypress / Juniper / Cedar,Species.Tree.Mulberry,Species.Tree.Pine,Species.Tree.Elm,Species.Tree.Ash,Species.Tree.Birch,Species.Tree.Maple,Species.Tree.Poplar / Cottonwood,Species.Weed.Ragweed,SpeciesRisk.Oak,SpeciesRisk.Cypress / Juniper / Cedar,SpeciesRisk.Mulberry,SpeciesRisk.Pine,SpeciesRisk.Elm,SpeciesRisk.Ash,SpeciesRisk.Birch,SpeciesRisk.Maple,SpeciesRisk.Poplar / Cottonwood,SpeciesRisk.Grass / Poaceae,SpeciesRisk.Ragweed,lat,lng,time,date
18,0,0,Low,Low,Low,0,0,0,18,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1672531200,2023-01-01
11,0,0,Low,Low,Low,0,0,0,11,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1672617600,2023-01-02
97,0,0,Moderate,Low,Low,4,0,0,93,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1672704000,2023-01-03
27,0,0,Low,Low,Low,0,0,0,27,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1672790400,2023-01-04
100,0,0,Moderate,Low,Low,0,0,0,100,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1672876800,2023-01-05
42,0,0,Low,Low,Low,0,0,0,42,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1672963200,2023-01-06
73,0,0,Low,Low,Low,21,0,0,52,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673049600,2023-01-07
33,0,0,Low,Low,Low,0,0,0,33,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673136000,2023-01-08
46,0,0,Low,Low,Low,0,0,0,46,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673222400,2023-01-09
93,0,0,Low,Low,Low,8,0,0,85,0,0,0,0,0,0,0,0,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673308800,2023-01-10
80,0,0,Low,Low,Low,0,0,0,80,0,0,0,0,0,0,0,0,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673395200,2023-01-11
31,0,0,Low,Low,Low,22,0,0,9,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673481600,2023-01-12
60,0,0,Low,Low,Low,0,0,0,60,0,0,0,0,0,0,0,0,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673568000,2023-01-13
78,0,0,Low,Low,Low,18,0,0,60,0,0,0,0,0,0,0,0,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673654400,2023-01-14
23,0,0,Low,Low,Low,0,0,0,23,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673740800,2023-01-15
148,0,0,Moderate,Low,Low,0,0,0,148,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673827200,2023-01-16
231,0,0,High,Low,Low,0,0,0,231,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1673913600,2023-01-17
254,0,0,High,Low,Low,0,0,0,254,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674000000,2023-01-18
179,0,0,Moderate,Low,Low,0,0,0,179,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674086400,2023-01-19
224,0,0,High,Low,Low,0,0,0,224,0,0,0,0,0,0,0,0,Low,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674172800,2023-01-20
31,0,0,Low,Low,Low,22,0,0,9,0,0,0,0,0,0,0,0,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,33.7544657,-84.3898151,1674259200,2023-01-21
